batch_id,max_tokens,provisions_submitted,submitted_date,source
msgbatch_01MAMQYzwFgpXmFNT65qsCPu,4000,997,2026-09-20,recorded_by_hand
msgbatch_01N9Ck3Mz4J9uVqbD1T1tNDt,16000,1,2026-09-20,recorded_by_hand
