MEASURE,GROUP,SUBJECT,CATEGORY,TAX,DETAILS,2020,2021,2022,2023,2024,2025,2026,2027
Home Accessibility Tax Credit,Tax expenditure,Health,Non-structural,PIT,Personal income tax,15,25,40,30,30,30,25,25
"Immediate expensing for small businesses,Tax expenditure,Business - other,Non-structural,PIT/CIT,Total,–,675,""1,640"",""1,460"",-125,-935,-700,-530"
Immediate expensing for small businesses,Tax expenditure,Business - other,Non-structural,PIT,Personal Income tax,–,–,335,230,180,-190,-140,-100
"Immediate expensing for small businesses,Tax expenditure,Business - other,Non-structural,CIT,Corporate income tax,–,675,""1,305"",""1,175"",-350,-735,-550,-420"
Investment corporation deduction,Tax measure other than tax expenditure,Savings and investment,Structural,CIT,Corporate income tax,S,S,S,S,S,S,S,S
Investment Tax Credit for Child Care Spaces,Tax expenditure,Families and households,Non-structural,PIT/CIT,Total,X,X,X,X,X,X,X,X
Investment Tax Credit for Child Care Spaces,Tax expenditure,Families and households,Non-structural,PIT,Total – personal income tax,S,S,S,S,S,S,S,S
Investment Tax Credit for Child Care Spaces,Tax expenditure,Families and households,Non-structural,CIT,Corporate income tax,X,X,X,X,X,X,X,X
Labour Mobility Deduction for Tradespeople,Tax expenditure,Employment,Structural,PIT  ,Personal Income Tax,–,–,2,1,1,1,1,2
Labour-Sponsored Venture Capital Corporations Credit,Tax expenditure,Savings and investment,Non-structural,PIT,Personal income tax,180,175,185,190,215,205,205,205
"Lifetime Capital Gains Exemption,Tax expenditure,Business - other,Non-structural,PIT,Total – personal income tax,""1,725"",""2,550"",""2,625"",""2,585"",""2,700"",""2,770"",""3,025"",""2,880"""
"Lifetime Capital Gains Exemption,Tax expenditure,Business - other,Non-structural,PIT,Personal income tax – individuals – small business shares,""1,020"",""1,650"",""1,645"",""1,660"",""1,720"",""1,760"",""1,815"",""1,895"""
"Lifetime Capital Gains Exemption,Tax expenditure,Business - other,Non-structural,PIT,Personal income tax – individuals – farm and fishing property,705,900,975,925,980,""1,015"",""1,065"",""1,130"""
Local Lockdown Program,Refundable tax credit classified as transfer payment,Employment,N/A,PIT/CIT,Total,–,n.a.,n.a.,–,–,–,–,–
Logging Tax Credit,Tax expenditure,Intergovernmental tax arrangements,Non-structural,TRU,Personal income tax – trusts,X,X,X,X,X,X,X,X
Logging Tax Credit,Tax expenditure,Intergovernmental tax arrangements,Non-structural,PIT/TRU/CIT,Total,X,X,X,X,X,X,X,X
Logging Tax Credit,Tax expenditure,Intergovernmental tax arrangements,Non-structural,PIT/TRU,Total – personal income tax,X,X,X,X,X,X,X,X
Logging Tax Credit,Tax expenditure,Intergovernmental tax arrangements,Non-structural,PIT,Personal income tax – individuals,1,2,3,1,1,1,1,1
Logging Tax Credit,Tax expenditure,Intergovernmental tax arrangements,Non-structural,CIT,Corporate income tax,55,240,185,40,55,50,45,40
"Medical Expense Tax Credit,Tax expenditure,Health,Structural,PIT,Personal income tax,""1,530"",""1,805"",""1,925"",""2,200"",""2,220"",""2,290"",""2,370"",""2,540"""
Mineral Exploration Tax Credit for Flow-Through Share Investors,Tax expenditure,Business - natural resources,Non-structural,PIT,Personal income tax,100,145,60,35,40,50,45,-10
Moving expense deduction,Tax expenditure,Employment,Structural,PIT,Personal income tax,105,150,165,135,120,120,125,125
Multigenerational Home Renovation Tax Credit,Refundable tax credit classified as transfer payment,Housing,N/A,PIT,Personal income tax,–,–,–,25,25,25,25,25
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,TRU,Farm and fishing non-capital losses – personal income tax – trusts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,TRU,Other non-capital losses – personal income tax – trusts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,TRU,Total non-capital losses – personal income tax – trusts,180,220,355,340,380,345,345,360
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT/TRU/CIT,Farm and fishing non-capital losses – total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT/TRU/CIT,Other non-capital losses – total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT/TRU/CIT,Total non-capital losses – total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT/TRU,Farm and fishing non-capital losses – total – personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT/TRU,Other non-capital losses – total – personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT/TRU,Total non-capital losses – total – personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Farm and fishing non-capital losses – personal income tax - individuals – total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Farm and fishing non-capital losses – personal income tax – individuals – carried back,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Farm and fishing non-capital losses – personal income tax – individuals – applied to current year,20,25,30,30,30,35,35,35
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Other non-capital losses – personal income tax – individuals – total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Other non-capital losses – personal income tax – individuals – carried back,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Other non-capital losses – personal income tax – individuals – applied to current year,90,90,90,110,115,120,125,135
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Total non-capital losses – personal income tax – individuals – total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Total non-capital losses – personal income tax – individuals – carried back,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,PIT,Total non-capital losses – personal income tax – individuals – applied to current year,110,115,120,140,150,155,160,170
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Farm and fishing non-capital losses – total – corporate income tax,85,110,125,130,150,160,165,170
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Farm and fishing non-capital losses – corporate income tax – carried back,30,20,35,35,30,35,35,35
Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Farm and fishing non-capital losses – corporate income tax – applied to current year,55,90,90,95,125,130,130,140
"Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Other non-capital losses – total – corporate income tax,""8,820"",""11,395"",""14,620"",""12,470"",""13,100"",""12,540"",""12,635"",""12,975"""
"Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Other non-capital losses – corporate income tax – carried back,""3,205"",""1,905"",""2,915"",""2,930"",""2,455"",""2,885"",""2,895"",""2,840"""
"Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Other non-capital losses – corporate income tax – applied to current year,""5,615"",""9,490"",""11,710"",""9,540"",""10,645"",""9,660"",""9,740"",""10,135"""
"Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Total non-capital losses – total – corporate income tax,""8,900"",""11,500"",""14,745"",""12,595"",""13,250"",""12,705"",""12,800"",""13,150"""
"Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Total non-capital losses – corporate income tax – carried back,""3,230"",""1,925"",""2,950"",""2,965"",""2,485"",""2,915"",""2,925"",""2,875"""
"Non-capital loss carry-overs,Tax measure other than tax expenditure,Business - other,Structural,CIT,Total non-capital losses – corporate income tax – applied to current year,""5,670"",""9,575"",""11,800"",""9,635"",""10,765"",""9,785"",""9,870"",""10,275"""
Non-deductibility of advertising expenses in foreign media,Tax expenditure,Business - other,Non-structural,PIT/CIT,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-deductibility of advertising expenses in foreign media,Tax expenditure,Business - other,Non-structural,PIT,Personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Non-deductibility of advertising expenses in foreign media,Tax expenditure,Business - other,Non-structural,CIT,Corporate income tax,S,S,S,S,S,S,S,S
Non-taxation of allowances for diplomats and other government employees posted abroad,Tax expenditure,Employment,Structural,PIT,Personal income tax,35,35,30,35,45,50,n.a.,n.a.
"Non-taxation of benefits from private health and dental plans,Tax expenditure,Health,Non-structural,PIT,Personal income tax,""3,150"",""3,530"",""4,145"",""4,560"",""4,865"",""5,140"",""5,445"",""5,735"""
"Non-taxation of capital gains on donations of cultural property,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,TRU,Personal income tax – trusts,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a."
"Non-taxation of capital gains on donations of cultural property,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU/CIT,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a."
"Non-taxation of capital gains on donations of cultural property,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU/CIT,Total tax assistance,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a."
"Non-taxation of capital gains on donations of cultural property,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU,Total - personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a."
"Non-taxation of capital gains on donations of cultural property,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT,Personal income tax - individuals,5,5,4,4,10,5,5,5"
"Non-taxation of capital gains on donations of cultural property,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,CIT,Corporate income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a."
"Non-taxation of capital gains on donations of ecologically sensitive land,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,TRU,Personal income tax – trusts,S,S,S,S,S,S,S,S"
"Non-taxation of capital gains on donations of ecologically sensitive land,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU/CIT,Total,2,5,5,15,5,10,10,10"
"Non-taxation of capital gains on donations of ecologically sensitive land,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU/CIT,Total tax assistance,10,15,25,45,25,30,30,30"
"Non-taxation of capital gains on donations of ecologically sensitive land,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU,Total – personal income tax,2,3,4,5,5,4,4,4"
"Non-taxation of capital gains on donations of ecologically sensitive land,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT,Personal income tax – individuals,2,3,4,5,5,4,4,4"
"Non-taxation of capital gains on donations of ecologically sensitive land,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,CIT,Corporate income tax,S,1,2,10,1,5,5,4"
"Non-taxation of capital gains on donations of publicly listed securities,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,TRU,Personal income tax – trusts,1,3,1,2,2,1,1,1"
"Non-taxation of capital gains on donations of publicly listed securities,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU/CIT,Total,275,340,195,330,440,275,290,310"
"Non-taxation of capital gains on donations of publicly listed securities,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU/CIT,Total tax assistance,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a."
"Non-taxation of capital gains on donations of publicly listed securities,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/TRU,Total – personal income tax,100,135,95,175,190,90,100,115"
"Non-taxation of capital gains on donations of publicly listed securities,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT,Personal income tax – individuals,100,135,95,170,185,90,100,115"
"Non-taxation of capital gains on donations of publicly listed securities,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,CIT,Corporate income tax,175,210,100,155,255,185,190,200"
"Non-taxation of capital gains on principal residences,Tax expenditure,Housing,Non-structural,PIT,Personal income tax,""6,930"",""12,175"",""10,595"",""7,565"",""7,460"",""8,170"",""8,545"",""9,420"""
Non-taxation of certain veterans’ benefits,Tax expenditure,Income support,Non-structural,PIT,Personal income tax,195,190,180,180,185,185,190,190
Non-taxation of Guaranteed Income Supplement and Allowance benefits,Tax expenditure,Income support,Non-structural,PIT,Personal income tax,245,210,225,350,390,415,455,520
Non-taxation of income earned by military and police deployed to international operational missions,Tax expenditure,Employment,Non-structural,PIT,Personal income tax,30,35,35,40,50,60,n.a.,n.a.
"Non-taxation of non-profit organizations,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,PIT/CIT,Total,50,100,215,275,290,290,310,335"
Non-taxation of payments to Canadian Armed Forces members and veterans in respect of pain and suffering,Tax measure other than tax expenditure,Other,Structural,PIT,Personal income tax,300,395,400,445,605,655,550,505
Non-taxation of RCMP pensions and other compensation in respect of injury, disability or death,Tax expenditure,Income support,Non-structural,PIT,Personal income tax,55,70,80,100,110,125,140,155
Non-taxation of social assistance benefits,Tax expenditure,Income support,Non-structural,PIT,Personal income tax,425,370,300,340,390,400,420,450
Non-taxation of up to $10,000 of death benefits,Tax expenditure,Families and households,Non-structural,PIT,Personal income tax,5,5,5,10,10,10,10,10
"Non-taxation of workers’ compensation benefits,Tax expenditure,Income support,Non-structural,PIT,Personal income tax,830,855,880,945,975,980,985,""1,010"""
Northern Residents Deductions,Tax expenditure,Employment,Non-structural,PIT,Personal income tax,220,230,240,245,250,250,255,255
Partial deduction of and partial input tax credits for meals and entertainment,Tax measure other than tax expenditure,Business - other,Structural,PIT/CIT/GST,Total,500,500,755,905,990,895,900,940
Partial deduction of and partial input tax credits for meals and entertainment,Tax measure other than tax expenditure,Business - other,Structural,PIT,Personal income tax,150,185,250,275,295,270,270,280
Partial deduction of and partial input tax credits for meals and entertainment,Tax measure other than tax expenditure,Business - other,Structural,GST,Goods and Services Tax,130,120,180,225,245,220,220,230
Partial deduction of and partial input tax credits for meals and entertainment,Tax measure other than tax expenditure,Business - other,Structural,CIT,Corporate income tax,225,195,325,405,450,405,410,425
"Partial inclusion of capital gains,Tax expenditure,Savings and investment,Non-structural,TRU,Personal income tax – trusts,""1,545"",""2,600"",""1,535"",""1,205"",""1,400"",""1,440"",""1,495"",""1,565"""
"Partial inclusion of capital gains,Tax expenditure,Savings and investment,Non-structural,PIT/TRU/CIT,Total,""23,015"",""40,580"",""34,545"",""29,485"",""41,740"",""34,165"",""36,920"",""39,980"""
"Partial inclusion of capital gains,Tax expenditure,Savings and investment,Non-structural,PIT/TRU,Total – personal income tax,""11,515"",""22,135"",""15,580"",""14,520"",""17,180"",""17,615"",""18,275"",""19,170"""
"Partial inclusion of capital gains,Tax expenditure,Savings and investment,Non-structural,PIT,Personal income tax – individuals,""9,970"",""19,535"",""14,045"",""13,315"",""15,780"",""16,175"",""16,780"",""17,605"""
"Partial inclusion of capital gains,Tax expenditure,Savings and investment,Non-structural,CIT,Corporate income tax,""11,500"",""18,450"",""18,965"",""14,965"",""24,560"",""16,550"",""18,650"",""20,810"""
Patronage dividends paid as shares by agricultural cooperatives,Tax expenditure,Business - farming and fishing,Non-structural,PIT/CIT,Total,1,-2,-3,S,S,2,3,3
Patronage dividends paid as shares by agricultural cooperatives,Tax expenditure,Business - farming and fishing,Non-structural,PIT,Personal income tax,S,-1,-1,S,S,1,1,1
Patronage dividends paid as shares by agricultural cooperatives,Tax expenditure,Business - farming and fishing,Non-structural,CIT,Corporate income tax,S,-1,-2,S,S,2,2,2
"Pension Income Credit,Tax expenditure,Retirement,Non-structural,PIT,Personal income tax,""1,270"",""1,300"",""1,335"",""1,375"",""1,415"",""1,405"",""1,400"",""1,440"""
"Pension income splitting,Tax expenditure,Retirement,Non-structural,PIT,Personal income tax,""1,470"",""1,520"",""1,615"",""1,660"",""1,740"",""1,905"",""2,075"",""2,205"""
Personal Support Workers Tax Credit,Refundable tax credit classified as transfer payment,Health,N/A,PIT,Personal income tax, – , – , – , – , – , – ,280,290
Political Contribution Tax Credit,Tax expenditure,Social,Non-structural,PIT,Total – personal income tax,30,40,30,30,35,45,35,35
Pooled Registered Pension Plans,Tax expenditure,Retirement,Non-structural,PIT,Personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"Preferential tax rate for small businesses,Tax expenditure,Business - small businesses,Non-structural,CIT,Corporate income tax,""5,345"",""6,410"",""6,620"",""6,735"",""6,805"",""6,160"",""6,210"",""6,470"""
"Quarterly payments for families with young children entitled to the Canada Child Benefit (2021) – Children’s Benefits,Refundable tax credit classified as transfer payment,Families and households,N/A,PIT,Personal income tax,560,""1,680"",–,–,–,–,–,–"
Quebec Abatement,Tax measure other than tax expenditure,Intergovernmental tax arrangements,Structural,TRU,Personal income tax – trusts,135,215,125,150,190,190,200,195
"Quebec Abatement,Tax measure other than tax expenditure,Intergovernmental tax arrangements,Structural,PIT/TRU,Total – personal income tax,""5,650"",""6,485"",""6,780"",""7,015"",""7,725"",""7,910"",""8,190"",""8,585"""
"Quebec Abatement,Tax measure other than tax expenditure,Intergovernmental tax arrangements,Structural,PIT,Personal income tax – individuals,""5,515"",""6,270"",""6,655"",""6,865"",""7,535"",""7,715"",""7,990"",""8,395"""
Rate reduction for zero-emission technology manufacturers ,Tax expenditure,Environment,Non-structural,CIT,Total,–,–,1,10,35,40,45,50
Rebate for book purchases made by certain organizations,Tax expenditure,Education,Non-structural,GST,Goods and Services Tax,10,10,10,10,15,15,15,15
"Rebate for hospitals, facility operators and external suppliers,Tax expenditure,Health,Non-structural,GST,Goods and Services Tax,985,975,""1,060"",""1,205"",""1,290"",""1,285"",""1,320"",""1,365"""
"Rebate for municipalities,Tax expenditure,Intergovernmental tax arrangements,Structural,GST,Goods and Services Tax,""2,735"",""2,860"",""3,120"",""3,590"",""3,875"",""4,025"",""4,105"",""4,200"""
Rebate for new housing,Tax expenditure,Housing,Non-structural,GST,Goods and Services Tax,205,175,125,85,85,75,70,70
Rebate for new residential rental property,Tax expenditure,Housing,Non-structural,GST,Goods and Services Tax,225,250,265,270,305,360,420,345
"Rebate for poppies and wreaths,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,GST,Goods and Services Tax,X,X,X,X,X,X,X,X"
"Rebate for qualifying non-profit organizations,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,GST,Goods and Services Tax,80,90,100,110,115,120,125,130"
"Rebate for registered charities,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,GST,Goods and Services Tax,300,340,400,450,465,485,505,525"
"Rebate for schools, colleges and universities,Tax expenditure,Education,Non-structural,GST,Total – Goods and Services Tax,795,875,""1,000"",""1,110"",""1,190"",""1,185"",""1,220"",""1,260"""
Rebate for schools, colleges and universities,Tax expenditure,Education,Non-structural,GST,Rebate for schools,450,505,575,635,680,680,695,720
Rebate for schools, colleges and universities,Tax expenditure,Education,Non-structural,GST,Rebate for colleges,95,105,125,155,165,165,170,175
Rebate for schools, colleges and universities,Tax expenditure,Education,Non-structural,GST,Rebate for universities,245,270,300,320,345,345,355,365
Rebate for specially equipped motor vehicles,Tax expenditure,Health,Non-structural,GST,Goods and Services Tax,S,S,S,S,S,S,S,S
Rebate to employees and partners,Tax expenditure,Employment,Structural,GST,Goods and Services Tax,40,40,40,40,45,45,55,60
Reclassification of expenses under flow-through shares,Tax expenditure,Business - natural resources,Non-structural,PIT/CIT,Total,-3,-2,-1,-1,-1,S,S,S
Reclassification of expenses under flow-through shares,Tax expenditure,Business - natural resources,Non-structural,PIT,Personal income tax,-2,-2,-1,-1,-1,S,S,S
Reclassification of expenses under flow-through shares,Tax expenditure,Business - natural resources,Non-structural,CIT,Corporate income tax,S,S,S,S,S,S,S,S
"Refundable capital gains tax for investment corporations, mutual fund corporations and mutual fund trusts,Tax measure other than tax expenditure,Savings and investment,Structural,TRU/CIT,Total,""7,265"",""10,350"",""4,900"",""6,435"",""7,715"",""8,255"",""8,560"",""8,965"""
"Refundable capital gains tax for investment corporations, mutual fund corporations and mutual fund trusts,Tax measure other than tax expenditure,Savings and investment,Structural,TRU,Mutual fund trusts – personal income tax,""6,155"",""8,375"",""3,690"",""5,930"",""6,900"",""7,090"",""7,360"",""7,715"""
"Refundable capital gains tax for investment corporations, mutual fund corporations and mutual fund trusts,Tax measure other than tax expenditure,Savings and investment,Structural,CIT,Investment and mutual fund corporations – corporate income tax,""1,110"",""1,975"",""1,210"",505,815,""1,165"",""1,200"",""1,250"""
Refundable Medical Expense Supplement,Refundable tax credit classified as transfer payment,Health,N/A,PIT,Personal income tax,120,150,185,215,230,240,245,245
"Refundable taxes on investment income of private corporations,Tax measure other than tax expenditure,Other,Structural,CIT,Total – corporate income tax,""-3,440"",""-5,420"",""-6,440"",""-5,620"",""-10,390"",""-10,440"",""-10,000"",""-10,250"""
"Refundable taxes on investment income of private corporations,Tax measure other than tax expenditure,Other,Structural,CIT,Additional Part I tax,""-7,760"",""-10,510"",""-12,250"",""-12,160"",""-17,730"",""-11,950"",""-13,465"",""-15,025"""
"Refundable taxes on investment income of private corporations,Tax measure other than tax expenditure,Other,Structural,CIT,Part IV tax,""-7,110"",""-8,410"",""-9,810"",""-11,930"",""-13,205"",""-12,340"",""-12,140"",""-12,640"""
"Refundable taxes on investment income of private corporations,Tax measure other than tax expenditure,Other,Structural,CIT,Dividend refund,""11,430"",""13,500"",""15,620"",""18,470"",""20,550"",""13,850"",""15,605"",""17,410"""
Refunds for Indigenous self-governments,Tax expenditure,Intergovernmental tax arrangements,Structural,GST,Goods and Services Tax,10,15,20,20,20,20,20,20
Registered Disability Savings Plans,Tax expenditure,Health,Non-structural,PIT,Personal income tax,65,90,90,100,110,130,150,165
Registered Education Savings Plans,Tax expenditure,Education,Non-structural,PIT,Personal income tax,110,130,170,235,330,475,590,645
"Registered Pension Plans,Tax expenditure,Retirement,Non-structural,PIT,Total – personal income tax,""22,755"",""27,735"",""19,500"",""21,555"",""25,870"",""24,825"",""25,360"",""26,005"""
"Registered Pension Plans,Tax expenditure,Retirement,Non-structural,PIT,Deduction for contributions,""16,550"",""16,700"",""17,690"",""17,860"",""18,435"",""19,030"",""19,570"",""20,365"""
"Registered Pension Plans,Tax expenditure,Retirement,Non-structural,PIT,Non-taxation of investment income,""18,600"",""24,660"",""15,540"",""18,580"",""23,305"",""22,440"",""23,290"",""24,365"""
"Registered Pension Plans,Tax expenditure,Retirement,Non-structural,PIT,Taxation of withdrawals,""-12,395"",""-13,625"",""-13,730"",""-14,880"",""-15,875"",""-16,645"",""-17,500"",""-18,725"""
"Registered Retirement Savings Plans,Tax expenditure,Retirement,Non-structural,PIT,Total – personal income tax,""12,880"",""19,610"",""11,440"",""13,035"",""15,650"",""16,720"",""17,355"",""18,510"""
"Registered Retirement Savings Plans,Tax expenditure,Retirement,Non-structural,PIT,Deduction for contributions,""11,160"",""12,865"",""12,480"",""12,690"",""13,595"",""13,855"",""14,105"",""14,595"""
"Registered Retirement Savings Plans,Tax expenditure,Retirement,Non-structural,PIT,Non-taxation of investment income,""9,545"",""15,750"",""8,890"",""10,845"",""13,470"",""14,855"",""15,885"",""17,425"""
"Registered Retirement Savings Plans,Tax expenditure,Retirement,Non-structural,PIT,Taxation of withdrawals,""-7,825"",""-9,000"",""-9,930"",""-10,495"",""-11,410"",""-11,990"",""-12,635"",""-13,510"""
Rollovers of investments in small businesses,Tax expenditure,Business - small businesses,Non-structural,PIT,Personal income tax,10,15,10,15,5,15,15,15
Saskatchewan Pension Plan,Tax expenditure,Retirement,Non-structural,PIT,Personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"Scientific Research and Experimental Development Investment Tax Credit,Refundable tax credit classified as transfer payment,Business - research and development,N/A,CIT,Corporate income tax – Refundable portion,""1,845"",""1,985"",""2,250"",""2,445"",""2,735"",""3,205"",""3,295"",""3,420"""
"Scientific Research and Experimental Development Investment Tax Credit,Tax expenditure,Business - research and development,Non-structural,PIT/CIT,Total,""3,140"",""3,515"",""4,165"",""4,360"",""4,940"",""5,175"",""5,335"",""5,550"""
Scientific Research and Experimental Development Investment Tax Credit,Tax expenditure,Business - research and development,Non-structural,PIT,Total – personal income tax,1,1,1,1,1,1,1,1
"Scientific Research and Experimental Development Investment Tax Credit,Tax expenditure,Business - research and development,Non-structural,CIT,Total – corporate income tax,""3,140"",""3,515"",""4,165"",""4,360"",""4,940"",""5,175"",""5,330"",""5,550"""
"Scientific Research and Experimental Development Investment Tax Credit,Tax expenditure,Business - research and development,Non-structural,CIT,Corporate income tax – Non-refundable portion – Total,""1,295"",""1,530"",""1,910"",""1,915"",""2,205"",""1,970"",""2,035"",""2,130"""
Scientific Research and Experimental Development Investment Tax Credit,Tax expenditure,Business - research and development,Non-structural,CIT,Corporate income tax – Non-refundable portion – Earned and claimed in current year,475,515,670,710,815,530,550,585
"Scientific Research and Experimental Development Investment Tax Credit,Tax expenditure,Business - research and development,Non-structural,CIT,Corporate income tax – Non-refundable portion – Claimed in current year but earned in prior years,770,990,""1,195"",""1,145"",""1,360"",""1,410"",""1,450"",""1,510"""
Scientific Research and Experimental Development Investment Tax Credit,Tax expenditure,Business - research and development,Non-structural,CIT,Corporate income tax – Non-refundable portion – Earned in current year but carried back to prior years,50,25,45,65,30,30,35,35
Search and Rescue Volunteers Tax Credit,Tax expenditure,Social,Non-structural,PIT,Personal income tax,2,2,2,3,5,5,5,5
Small Businesses Air Quality Improvement Tax Credit,Refundable tax credit classified as transfer payment,Health,N/A,PIT/CIT,Total,–,–,3,5,–,–,–,–
Small Businesses Air Quality Improvement Tax Credit,Refundable tax credit classified as transfer payment,Health,N/A,PIT,Personal Income Tax,–,–,2,5,–,–,–,–
Small Businesses Air Quality Improvement Tax Credit,Refundable tax credit classified as transfer payment,Health,N/A,CIT,Corporate Income Tax,–,–,1,S,–,–,–,–
Small suppliers’ threshold,Tax expenditure,Business - small businesses,Structural,GST,Total,180,205,260,255,260,265,270,275
Special tax computation for certain retroactive lump-sum payments,Tax measure other than tax expenditure,Other,Structural,PIT,Personal income tax,S,1,1,1,10,1,1,1
"Spouse or Common-Law Partner Credit,Tax expenditure,Families and households,Structural,PIT,Personal income tax,""1,685"",""1,840"",""2,090"",""2,285"",""2,460"",""2,450"",""2,405"",""2,465"""
Student Loan Interest Credit,Tax expenditure,Education,Non-structural,PIT,Personal income tax,25,20,15,25,25,25,25,25
Targeted Temporary GST/HST Relief ,Tax expenditure,Families and households,Non-structural,GST,Goods and Services Tax,-,-,-,-,445,840,-,-
