MEASURE,GROUP,SUBJECT,CATEGORY,TAX,DETAILS,2020,2021,2022,2023,2024,2025,2026,2027
Atlantic Investment Tax Credit for oil and gas and coal mining,Tax expenditure,Business - other,Non-structural,CIT,Corporate income tax,X,X,X,X,X,X,X,X
Canada Caregiver Credit,Tax expenditure,Families and households,Structural,PIT,Personal income tax,240,245,250,275,290,295,300,305
"Canada Child Benefit,Refundable tax credit classified as transfer payment,Families and households,N/A,PIT,Personal income tax,""26,800"",""24,500"",""24,600"",""26,400"",""28,600"",""30,100"",""31,000"",""31,700"""
"Canada Emergency Rent Subsidy & Lockdown Support,Refundable tax credit classified as transfer payment,Business - other,N/A,PIT/CIT,Personal and corporate income tax,""2,050"",""5,450"",–,–,–,–,–,–"
"Canada Emergency Wage Subsidy,Refundable tax credit classified as transfer payment,Employment,N/A,PIT/CIT,Personal and corporate income tax,""70,320"",""29,450"",–,–,–,–,–,–"
"Canada Employment Credit,Tax expenditure,Employment,Structural,PIT,Personal income tax,""2,750"",""2,755"",""2,830"",""3,090"",""3,325"",""3,300"",""3,245"",""3,325"""
Canada Recovery Dividend,Tax expenditure,Business - other,Non-structural,CIT,Corporate Income Tax,–,–,-720,-720,-720,-720,-720,–
Canada Recovery Hiring Program,Refundable tax credit classified as transfer payment,Employment,N/A,PIT/CIT,Total,–,950,475,–,–,–,–,–
Canada Training Credit,Refundable tax credit classified as transfer payment,Employment,N/A,PIT,Personal income tax,100,180,215,245,250,270,290,310
"Canada Workers Benefit,Refundable tax credit classified as transfer payment,Employment,N/A,PIT,Personal income tax,900,""2,400"",""3,290"",""4,465"",""5,110"",""5,215"",""5,215"",""5,215"""
Canadian Film or Video Production Tax Credit,Refundable tax credit classified as transfer payment,Arts and culture,N/A,CIT,Corporate income tax,255,295,365,395,430,445,455,475
Canadian Journalism Labour Tax Credit,Refundable tax credit classified as transfer payment,Business - other,N/A,PIT/CIT,Total,35,35,40,65,70,75,75,60
Canadian Journalism Labour Tax Credit,Refundable tax credit classified as transfer payment,Business - other,N/A,PIT,Personal income tax,1,S,S,S,S,S,S,S
