MESURE,GROUPE,THÈME,CATÉGORIE,IMPÔT OU TAXE,DÉTAILS,2020,2021,2022,2023,2024,2025,2026,2027
Crédit d’impôt à l’investissement dans la région de l’Atlantique,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés–Partie non remboursable–Total,100,185,325,165,215,200,200,210
Crédit d’impôt à l’investissement dans la région de l’Atlantique,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés–Partie non remboursable–Acquis et demandé dans l’année en cours,45,55,100,75,110,100,100,105
Crédit d’impôt à l’investissement dans la région de l’Atlantique,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés–Partie non remboursable–Demandé pour l’année en cours mais acquis antérieurement,45,125,220,65,90,80,80,85
Crédit d’impôt à l’investissement dans la région de l’Atlantique,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés–Partie non remboursable–Acquis dans l’année en cours mais reporté à des années antérieures,10,5,10,25,15,20,20,20
Crédit d’impôt à l’investissement dans la région de l’Atlantique,Crédits d'impôt remboursables classés comme des paiements de transfert,Entreprises - autres,S/O,IRS,Impôt sur le revenu des sociétés–Partie remboursable,25,25,25,35,30,35,35,35
Crédit d’impôt à l’investissement dans la région de l’Atlantique,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP/FID/IRS,Total,135,220,360,205,255,245,245,255
"Crédit d’impôt à l’investissement dans les technologies propres,Crédits d'impôt remboursables classés comme des paiements de transfert,Environnement,S/O,IRS,Impôt sur le revenu des sociétés,–,–,–,350,445,""1,050"",""1,090"",""1,130"""
Crédit d’impôt à l’investissement pour des places en garderie,Dépenses fiscales,Familles et ménages,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,F,F,F,F,F,F,F,F
Crédit d’impôt à l’investissement pour des places en garderie,Dépenses fiscales,Familles et ménages,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,X,X,X,X,X,X,X,X
Crédit d’impôt à l’investissement pour des places en garderie,Dépenses fiscales,Familles et ménages,Mesures non structurelles,IRP/FID/IRS,Total,X,X,X,X,X,X,X,X
Crédit d’impôt à l’investissement pour le captage, l’utilisation et le stockage du carbone,Crédits d'impôt remboursables classés comme des paiements de transfert,Environnement,S/O,IRS,Impôt sur le revenu des sociétés,–,–,15,40,40,125,425,865
"Crédit d’impôt compensatoire,Dépenses fiscales,Social,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,–,–,–,""5"",""15"",""15"""
Crédit d’impôt des sociétés pour exploration et développement miniers,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,45,15,40,-1,25,15,15,15
Crédit d’impôt pour contributions politiques,Dépenses fiscales,Social,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,30,40,30,30,35,45,35,35
"Crédit d’impôt pour don de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers–total,""3,290"",""3,615"",""3,690"",""4,010"",""4,090"",""3,940"",""4,165"",""4,285"""
"Crédit d’impôt pour don de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP,Titres cotés en bourse,350,450,350,575,585,300,335,390"
"Crédit d’impôt pour don de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP,Terres écosensibles,10,10,15,20,15,15,15,15"
"Crédit d’impôt pour don de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP,Biens culturels,15,15,15,10,30,15,15,15"
