MESURE,GROUPE,THÈME,CATÉGORIE,IMPÔT OU TAXE,DÉTAILS,2020,2021,2022,2023,2024,2025,2026,2027
Déduction pour amortissement accéléré pour les installations de liquéfaction de gaz naturel,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Déduction pour amortissement accéléré pour les installations de liquéfaction de gaz naturel,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,X,X,X,X,X,X,X,X
Déduction pour amortissement accéléré pour les installations de liquéfaction de gaz naturel,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP/IRS,Total,X,X,X,X,X,X,X,X
Déduction pour dépenses d’outillage des gens de métier,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,2,2,2,4,4,4,4,4
Déduction pour frais de déménagement,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,105,150,165,135,120,120,125,125
"Déduction pour frais de garde d’enfants,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,975,""1,210"",""1,280"",""1,275"",""1,320"",""1,300"",""1,310"",""1,335"""
Déduction pour la mobilité de la main-d’œuvre pour les gens de métier,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,–,–,2,1,1,1,1,2
Déduction pour la résidence d’un membre du clergé,Dépenses fiscales,Social,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,95,100,100,105,110,115,115,115
Déduction pour les sociétés de placement,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,F,F,F,F,F,F,F,F
"Déduction pour option d’achat d’actions accordées aux employés,Dépenses fiscales,Emploi,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,920,""1,645"",""1,130"",855,""1,070"",""1,155"",""1,230"",""1,335"""
Déduction pour outillage des apprentis mécaniciens de véhicules,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,4,5,5,4,4,4,4,4
Déduction pour produits et services de soutien aux personnes handicapées,Dépenses fiscales,Santé,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,3,3,3,3,3,3,3,3
"Déduction supplémentaire pour dons de médicaments,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,X,X,X,–,–,–,–,–"
Déductions pour actions accréditives,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,170,245,200,215,190,195,195,195
Déductions pour actions accréditives,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,30,60,60,65,75,70,65,65
Déductions pour actions accréditives,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP/IRS,Total,200,310,255,285,265,260,260,265
Déductions pour amortissement accéléré pour les installations de gaz naturel liquéfié à faibles émissions de carbone,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,–,–,–,n.d.,n.d.,n.d.
Déductions pour amortissement accéléré pour les installations de gaz naturel liquéfié à faibles émissions de carbone,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,–,–,–,–,X,X,X
Déductions pour amortissement accéléré pour les installations de gaz naturel liquéfié à faibles émissions de carbone,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP/IRS,Total,–,–,–,–,–,X,X,X
Déductions pour les habitants de régions éloignées,Dépenses fiscales,Emploi,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,220,230,240,245,250,250,255,255
"Détaxation des appareils médicaux et des appareils fonctionnels,Dépenses fiscales,Santé,Mesures non structurelles,TPS,Taxe sur les produits et services,620,730,795,850,905,950,975,""1,000"""
Détaxation des masques et des écrans faciaux,Dépenses fiscales,Santé,Mesures non structurelles,TPS,Taxe sur les produits et services,5,85,70,50,45,–,–,–
"Détaxation des médicaments sur ordonnance,Dépenses fiscales,Santé,Mesures non structurelles,TPS,Taxe sur les produits et services,945,""1,040"",""1,135"",""1,220"",""1,260"",""1,315"",""1,350"",""1,395"""
"Détaxation des produits alimentaires de base,Dépenses fiscales,Social,Mesures non structurelles,TPS,Taxe sur les produits et services,""5,375"",""5,480"",""5,870"",""6,350"",""6,620"",""6,895"",""7,140"",""7,410"""
Détaxation des produits d’hygiène féminine ,Dépenses fiscales,Familles et ménages,Mesures non structurelles,TPS,Taxe sur les produits et services,45,45,50,55,55,60,60,65
Dividende pour la relance au Canada,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,–,-720,-720,-720,-720,-720,–
Épuisement gagné,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Épuisement gagné,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,1,F,F,5,F,1,1,1
Épuisement gagné,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP/IRS,Total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Exemption aux voyageurs,Dépenses fiscales,International,Mesures structurelles,TPS,Taxe sur les produits et services,80,95,290,315,355,300,315,325
"Exonération cumulative des gains en capital,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Total–impôt sur le revenu des particuliers,""1,725"",""2,550"",""2,625"",""2,585"",""2,700"",""2,770"",""2,880"",""3,025"""
"Exonération cumulative des gains en capital,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers–actions de petites entreprises,""1,020"",""1,650"",""1,645"",""1,660"",""1,720"",""1,760"",""1,815"",""1,895"""
"Exonération cumulative des gains en capital,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers–biens agricoles et de pêche,705,900,975,925,980,""1,015"",""1,065"",""1,130"""
Exonération de l’impôt de succursale–Transports, communications et extraction de minerai de fer,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,X,X,X,X,X,X,X,X
"Exonération de la retenue d’impôt des non-résidents,Dépenses fiscales,International,Mesures non structurelles,IRP/IRS,Total,""8,975"",""11,680"",""13,475"",""14,315"",""14,755"",""15,540"",""16,325"",""17,320"""
"Exonération de la retenue d’impôt des non-résidents,Dépenses fiscales,International,Mesures non structurelles,IRP/IRS,Dividendes,""5,585"",""7,590"",""8,410"",""8,095"",""8,640"",""8,950"",""9,220"",""9,595"""
"Exonération de la retenue d’impôt des non-résidents,Dépenses fiscales,International,Mesures non structurelles,IRP/IRS,Intérêts,""1,410"",""1,700"",""2,060"",""2,600"",""2,440"",""2,525"",""2,605"",""2,710"""
"Exonération de la retenue d’impôt des non-résidents,Dépenses fiscales,International,Mesures non structurelles,IRP/IRS,Loyers et redevances,895,980,""1,240"",""1,460"",""1,415"",""1,465"",""1,510"",""1,575"""
"Exonération de la retenue d’impôt des non-résidents,Dépenses fiscales,International,Mesures non structurelles,IRP/IRS,Frais de gestion,""1,080"",""1,410"",""1,770"",""2,155"",""2,260"",""2,600"",""2,990"",""3,440"""
Exonération de la TPS et remboursement pour les services d’aide juridique,Dépenses fiscales,Social,Mesures non structurelles,TPS,Taxe sur les produits et services,45,50,50,55,55,60,60,65
"Exonération de la TPS pour certaines fournitures effectuées par des organismes de bienfaisance et des organismes à but non lucratif,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,TPS,Taxe sur les produits et services,""1,490"",""1,560"",""1,680"",""1,815"",""1,900"",""1,965"",""2,035"",""2,100"""
"Exonération de la TPS pour certains loyers résidentiels,Dépenses fiscales,Logement,Mesures non structurelles,TPS,Taxe sur les produits et services,""1,980"",""1,830"",""2,080"",""2,440"",""2,590"",""2,770"",""2,910"",""2,995"""
Exonération de la TPS pour l’hébergement de courte durée,Dépenses fiscales,Logement,Mesures non structurelles,TPS,Taxe sur les produits et services,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
"Exonération de la TPS pour les frais de scolarité et les services d’enseignement ,Dépenses fiscales,Éducation,Mesures non structurelles,TPS,Taxe sur les produits et services,935,965,""1,055"",""1,145"",""1,210"",""1,250"",""1,295"",""1,345"""
Exonération de la TPS pour les frais de stationnement des hôpitaux,Dépenses fiscales,Santé,Mesures non structurelles,TPS,Taxe sur les produits et services,10,15,15,15,20,20,20,20
Exonération de la TPS pour les services de distribution d’eau, les services d’égouts et les services de base de collecte des déchets,Dépenses fiscales,Social,Mesures non structurelles,TPS,Taxe sur les produits et services,365,390,415,440,480,500,520,540
Exonération de la TPS pour les services de garde d’enfants,Dépenses fiscales,Familles et ménages,Mesures non structurelles,TPS,Taxe sur les produits et services,150,190,230,190,200,210,215,225
"Exonération de la TPS pour les services de soins de santé,Dépenses fiscales,Santé,Mesures non structurelles,TPS,Taxe sur les produits et services,885,990,""1,080"",""1,145"",""1,200"",""1,240"",""1,295"",""1,365"""
Exonération de la TPS pour les services de soins personnels ,Dépenses fiscales,Familles et ménages,Mesures non structurelles,TPS,Taxe sur les produits et services,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Exonération de la TPS pour les services municipaux de transport,Dépenses fiscales,Social,Mesures non structurelles,TPS,Taxe sur les produits et services,110,110,170,215,230,230,240,250
Exonération de la TPS pour les traversiers, les routes et les ponts à péage,Dépenses fiscales,Social,Mesures non structurelles,TPS,Taxe sur les produits et services,10,10,15,15,15,15,20,20
"Exonération des organismes à but non lucratif,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/IRS,Total,50,100,215,275,290,290,310,335"
Exonération du revenu de bourses d’études, de perfectionnement et d’entretien,Dépenses fiscales,Éducation,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,705,690,725,760,770,770,720,745
Exonération pour gains en capital liés aux actions détenues par les employés ,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,–,F,1,5,15,F
"Fractionnement du revenu de pension,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,""1,470"",""1,520"",""1,615"",""1,660"",""1,740"",""1,905"",""2,075"",""2,205"""
Impôt supplémentaire pour les banques et les assureurs-vie,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,–,-250,-340,-475,-545,-560,-585
"Impôt sur les gains en capital remboursable pour les sociétés de placement, les sociétés de placement à capital variable et les fiducies de fonds commun de placement,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,FID,Fiducies de fonds mutuels–impôt sur le revenu des particuliers,""6,155"",""8,375"",""3,690"",""5,930"",""6,900"",""7,090"",""7,360"",""7,715"""
"Impôt sur les gains en capital remboursable pour les sociétés de placement, les sociétés de placement à capital variable et les fiducies de fonds commun de placement,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRS,Sociétés de placement et sociétés de placement à capital variable–impôt sur le revenu des sociétés,""1,110"",""1,975"",""1,210"",505,815,""1,165"",""1,200"",""1,250"""
"Impôt sur les gains en capital remboursable pour les sociétés de placement, les sociétés de placement à capital variable et les fiducies de fonds commun de placement,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,FID/IRS,Total,""7,265"",""10,350"",""4,900"",""6,435"",""7,715"",""8,255"",""8,560"",""8,965"""
Impôt sur les rachats de capitaux propres,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,–,–,–,-685,-725,-765,-810
"Impôts remboursables sur les revenus de placement des sociétés privées,Mesures fiscales ne constituant pas des dépenses fiscales,Autres,Mesures structurelles,IRS,Total–impôt sur le revenu des sociétés,""-3,440"",""-5,420"",""-6,440"",""-5,620"",""-10,390"",""-10,440"",""-10,000"",""-10,250"""
"Impôts remboursables sur les revenus de placement des sociétés privées,Mesures fiscales ne constituant pas des dépenses fiscales,Autres,Mesures structurelles,IRS,Impôt supplémentaire de la partie I,""-7,760"",""-10,510"",""-12,250"",""-12,160"",""-17,730"",""-11,950"",""-13,465"",""-15,025"""
"Impôts remboursables sur les revenus de placement des sociétés privées,Mesures fiscales ne constituant pas des dépenses fiscales,Autres,Mesures structurelles,IRS,Impôt de la partie IV,""-7,110"",""-8,410"",""-9,810"",""-11,930"",""-13,205"",""-12,340"",""-12,140"",""-12,640"""
"Impôts remboursables sur les revenus de placement des sociétés privées,Mesures fiscales ne constituant pas des dépenses fiscales,Autres,Mesures structurelles,IRS,Remboursement au titre de dividendes,""11,430"",""13,500"",""15,620"",""18,470"",""20,550"",""13,850"",""15,605"",""17,410"""
"Incitatif à l'investissement accéléré,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP/IRS,Total,""2,565"",""2,835"",""3,030"",""2,540"",50,""2,460"",""2,410"",""2,835"""
"Inclusion partielle des gains en capital,Dépenses fiscales,Épargne et investissement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,""9,970"",""19,535"",""14,045"",""13,315"",""15,780"",""16,175"",""16,780"",""17,605"""
"Inclusion partielle des gains en capital,Dépenses fiscales,Épargne et investissement,Mesures non structurelles,FID,Impôt sur le revenu des particuliers–fiducies,""1,545"",""2,600"",""1,535"",""1,205"",""1,400"",""1,440"",""1,495"",""1,565"""
"Inclusion partielle des gains en capital,Dépenses fiscales,Épargne et investissement,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,""11,500"",""18,450"",""18,965"",""14,965"",""24,560"",""16,550"",""18,650"",""20,810"""
"Inclusion partielle des gains en capital,Dépenses fiscales,Épargne et investissement,Mesures non structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,""11,515"",""22,135"",""15,580"",""14,520"",""17,180"",""17,615"",""18,275"",""19,170"""
"Inclusion partielle des gains en capital,Dépenses fiscales,Épargne et investissement,Mesures non structurelles,IRP/FID/IRS,Total,""23,015"",""40,580"",""34,545"",""29,485"",""41,740"",""34,165"",""36,920"",""39,980"""
"Majoration des dividendes et crédit d’impôt pour dividendes,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""4,660"",""5,225"",""5,820"",""6,380"",""6,710"",""6,975"",""7,205"",""7,515"""
Majoration des dividendes et crédit d’impôt pour dividendes,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,FID,Fiducies,280,360,475,315,325,340,350,365
"Majoration des dividendes et crédit d’impôt pour dividendes,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,""4,940"",""5,580"",""6,290"",""6,695"",""7,035"",""7,310"",""7,555"",""7,880"""
Montant non imposable pour les volontaires de services d’urgence,Dépenses fiscales,Social,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,3,3,3,3,3,3,3,3
Non-déductibilité des frais de publicité dans des médias étrangers,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Non-déductibilité des frais de publicité dans des médias étrangers,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,F,F,F,F,F,F,F,F
Non-déductibilité des frais de publicité dans des médias étrangers,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP/IRS,Total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Non-imposition de certaines prestations aux anciens combattants,Dépenses fiscales,Soutien de revenu,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,195,190,180,180,185,185,190,190
"Non-imposition des avantages provenant des régimes privés de soins de santé et de soins dentaires,Dépenses fiscales,Santé,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,""3,150"",""3,530"",""4,145"",""4,560"",""4,865"",""5,140"",""5,445"",""5,735"""
"Non-imposition des gains en capital sur les dons de biens culturels,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,5,5,4,4,10,5,5,5"
"Non-imposition des gains en capital sur les dons de biens culturels,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,FID,Impôt sur le revenu des particuliers–fiducies,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d."
"Non-imposition des gains en capital sur les dons de biens culturels,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d."
"Non-imposition des gains en capital sur les dons de biens culturels,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/IRS,Total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d."
"Non-imposition des gains en capital sur les dons de biens culturels,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/IRS,Support fiscal total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d."
"Non-imposition des gains en capital sur les dons de biens culturels,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d."
"Non-imposition des gains en capital sur les dons de terres écosensibles,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,2,3,4,5,5,4,4,4"
"Non-imposition des gains en capital sur les dons de terres écosensibles,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,FID,Impôt sur le revenu des particuliers–fiducies,F,F,F,F,F,F,F,F"
"Non-imposition des gains en capital sur les dons de terres écosensibles,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,F,1,2,10,1,5,5,4"
"Non-imposition des gains en capital sur les dons de terres écosensibles,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,2,3,4,5,5,4,4,4"
"Non-imposition des gains en capital sur les dons de terres écosensibles,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/FID/IRS,Total,2,5,5,15,5,10,10,10"
"Non-imposition des gains en capital sur les dons de terres écosensibles,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/FID/IRS,Support fiscal total,10,15,25,45,25,30,30,30"
"Non-imposition des gains en capital sur les dons de titres cotés en bourse,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,100,135,95,170,185,90,100,115"
"Non-imposition des gains en capital sur les dons de titres cotés en bourse,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,FID,Impôt sur le revenu des particuliers–fiducies,1,3,1,2,2,1,1,1"
"Non-imposition des gains en capital sur les dons de titres cotés en bourse,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,175,210,100,155,255,185,190,200"
"Non-imposition des gains en capital sur les dons de titres cotés en bourse,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,100,135,95,175,190,90,100,115"
"Non-imposition des gains en capital sur les dons de titres cotés en bourse,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/FID/IRS,Total,275,340,195,330,440,275,290,310"
"Non-imposition des gains en capital sur les dons de titres cotés en bourse,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRP/FID/IRS,Support fiscal total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d."
"Non-imposition des gains en capital sur les résidences principales,Dépenses fiscales,Logement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,""6,930"",""12,175"",""10,595"",""7,565"",""7,460"",""8,170"",""8,545"",""9,420"""
"Non-imposition des indemnités pour accidents du travail,Dépenses fiscales,Soutien de revenu,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,830,855,880,945,975,980,985,""1,010"""
Non-imposition des indemnités versées aux diplomates et autres employés du gouvernement en poste à l’étranger,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,35,35,30,35,45,50,n.d.,n.d.
Non-imposition des pensions et des indemnités (blessures, invalidité ou décès) versées aux membres de la Gendarmerie royale du Canada,Dépenses fiscales,Soutien de revenu,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,55,70,80,100,110,125,140,155
Non-imposition des prestations d’aide sociale,Dépenses fiscales,Soutien de revenu,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,425,370,300,340,390,400,420,450
Non-imposition des prestations de décès à concurrence de 10 000 $,Dépenses fiscales,Familles et ménages,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,5,5,5,10,10,10,10,10
Non-imposition des versements aux membres des Forces armées canadiennes et aux anciens combattants en ce qui concerne la souffrance et la douleur,Mesures fiscales ne constituant pas des dépenses fiscales,Autres,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,300,395,400,445,605,655,550,505
Non-imposition du revenu gagné par les militaires et les policiers participant à des missions opérationnelles internationales,Dépenses fiscales,Emploi,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,30,35,35,40,50,60,n.d.,n.d.
Non-imposition du Supplément de revenu garanti et des Allocations,Dépenses fiscales,Soutien de revenu,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,245,210,225,350,390,415,455,520
Passation en charge immédiate pour les petites entreprises,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,335,230,180,-190,-140,-100
"Passation en charge immédiate pour les petites entreprises,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,675,""1,305"",""1,175"",-350,-735,-550,-420"
"Passation en charge immédiate pour les petites entreprises,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP/IRS,Total,–,675,""1,640"",""1,460"",-125,-935,-700,-530"
Passation en charges des dépenses en capital de recherche scientifique et de développement expérimental,Dépenses fiscales,Entreprises - recherche et développement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,–,–,–,F,F,F
Passation en charges des dépenses en capital de recherche scientifique et de développement expérimental,Dépenses fiscales,Entreprises - recherche et développement,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,–,–,–,–,15,10,15
Passation en charges des dépenses en capital de recherche scientifique et de développement expérimental,Dépenses fiscales,Entreprises - recherche et développement,Mesures non structurelles,IRP/IRS,Total,–,–,–,–,–,15,10,15
Pertes déductibles au titre d’un placement d’entreprise,Dépenses fiscales,Entreprises - petites entreprises,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,40,40,30,35,35,40,40,40
Pertes déductibles au titre d’un placement d’entreprise,Dépenses fiscales,Entreprises - petites entreprises,Mesures non structurelles,FID,Impôt sur le revenu des particuliers–fiducies,F,F,1,1,1,1,1,1
Pertes déductibles au titre d’un placement d’entreprise,Dépenses fiscales,Entreprises - petites entreprises,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,15,15,5,10,15,15,15,15
Pertes déductibles au titre d’un placement d’entreprise,Dépenses fiscales,Entreprises - petites entreprises,Mesures non structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,40,40,30,35,35,40,40,40
Pertes déductibles au titre d’un placement d’entreprise,Dépenses fiscales,Entreprises - petites entreprises,Mesures non structurelles,IRP/FID/IRS,Total,55,55,40,45,50,50,55,55
Programme d’embauche pour la relance économique du Canada,Crédits d'impôt remboursables classés comme des paiements de transfert,Emploi,S/O,IRP/IRS,Total,–,950,475,–,–,–,–,–
Programme d’incitation pour congrès étrangers et voyages organisés,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,TPS,Taxe sur les produits et services,1,F,2,5,5,5,5,5
"Programme de relance du tourisme et de l’accueil,Crédits d'impôt remboursables classés comme des paiements de transfert,Emploi,S/O,IRP/IRS,Total,–,""1,050"",""1,640"",–,–,–,–,–"
Programme de relance pour les entreprises les plus durement touchées,Crédits d'impôt remboursables classés comme des paiements de transfert,Emploi,S/O,IRP/IRS,Total,–,300,330,–,–,–,–,–
Reclassement des dépenses pour actions accréditives,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,-2,-2,-1,-1,-1,F,F,F
Reclassement des dépenses pour actions accréditives,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,F,F,F,F,F,F,F,F
Reclassement des dépenses pour actions accréditives,Dépenses fiscales,Entreprises - ressources naturelles,Mesures non structurelles,IRP/IRS,Total,-3,-2,-1,-1,-1,F,F,F
Réduction de taux pour les fabricants de technologies à zéro émission,Dépenses fiscales,Environnement,Mesures non structurelles,IRS,Total,–,–,1,10,35,40,45,50
Régime de pension de la Saskatchewan,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
"Régimes de pension agréés,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Total–impôt sur le revenu des particuliers,""22,755"",""27,735"",""19,500"",""21,555"",""25,870"",""24,825"",""25,360"",""26,005"""
"Régimes de pension agréés,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Déduction des cotisations,""16,550"",""16,700"",""17,690"",""17,860"",""18,435"",""19,030"",""19,570"",""20,365"""
"Régimes de pension agréés,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Non-imposition du revenu de placement,""18,600"",""24,660"",""15,540"",""18,580"",""23,305"",""22,440"",""23,290"",""24,365"""
"Régimes de pension agréés,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Imposition des retraits,""-12,395"",""-13,625"",""-13,730"",""-14,880"",""-15,875"",""-16,645"",""-17,500"",""-18,725"""
